2019-12-03 00:40:12+08,1005.91,0,1474,1679
2019-12-03 00:50:12+08,1005.56,0,1474,1679
2019-12-03 01:00:12+08,1005.55,0,1475,1680
2019-12-03 01:10:12+08,1005.36,0,1474,1679
2019-12-03 01:20:13+08,1005.05,0,1475,1680
2019-12-03 01:30:14+08,1004.83,0,1474,1679
2019-12-03 01:40:13+08,1004.76,0,1474,1679
2019-12-03 01:50:12+08,1004.78,0,1474,1679
2019-12-03 02:00:12+08,1004.86,0,1474,1679
2019-12-03 02:10:12+08,1004.69,0,1475,1680
2019-12-03 02:20:12+08,1004.78,0,1475,1680
2019-12-03 02:30:12+08,1004.65,0,1475,1680
2019-12-03 02:40:12+08,1004.59,0,1474,1679
2019-12-03 02:50:12+08,1004.58,0,1474,1679
2019-12-03 03:00:12+08,1004.25,0,1474,1679
2019-12-03 03:10:12+08,1003.9,0,1474,1679
2019-12-03 03:20:13+08,1003.73,0,1473,1678
2019-12-03 03:30:12+08,1004.09,0,1474,1679
2019-12-03 03:40:12+08,1004.04,0,1474,1679
2019-12-03 03:50:12+08,1003.8,0,1474,1679
2019-12-03 04:00:12+08,1003.12,0,1474,1679
2019-12-03 04:10:12+08,1002.85,0,1474,1679
2019-12-03 04:20:12+08,1003.39,0,1474,1679
2019-12-03 04:30:12+08,1003.59,0,1474,1679
2019-12-03 04:40:12+08,1003.8,0,1474,1679
2019-12-03 04:50:12+08,1003.73,0,1474,1679
2019-12-03 05:00:12+08,1003.72,0,1474,1679
2019-12-03 05:10:12+08,1003.9,0,1474,1679
2019-12-03 05:20:12+08,1003.6,0,1474,1679
2019-12-03 05:30:12+08,1003.39,0,1473,1678
2019-12-03 05:40:12+08,1003.88,0,1473,1678
2019-12-03 05:50:13+08,1003.83,0,1473,1678
2019-12-03 06:00:12+08,1003.79,0,1472,1677
2019-12-03 06:10:12+08,1003.41,0,1473,1678
2019-12-03 06:20:12+08,1003.83,0,1473,1678
2019-12-03 06:30:12+08,1003.24,0,1473,1678
2019-12-03 06:40:13+08,1003.68,0,1473,1678
2019-12-03 06:50:12+08,1003.42,0,1473,1678
2019-12-03 07:00:12+08,1003.43,0,1473,1678
2019-12-03 07:10:12+08,1003.71,0,1471,1676
2019-12-03 07:20:13+08,1003.19,0,1473,1678
2019-12-03 07:30:12+08,1002.68,0,1473,1678
2019-12-03 07:40:12+08,1002.98,0,1472,1677
2019-12-03 07:50:14+08,1003.23,0,1473,1678
2019-12-03 08:00:12+08,1003.59,0,1473,1678
2019-12-03 08:10:13+08,1002.78,0,1473,1678
2019-12-03 08:20:12+08,1003.66,0,1473,1678
2019-12-03 08:30:12+08,1004.01,0,1473,1678
2019-12-03 08:40:13+08,1003.62,0,1473,1678
2019-12-03 08:50:12+08,1003.64,0,1473,1678
2019-12-03 09:00:12+08,1003.05,0,1474,1679
2019-12-03 09:10:12+08,1003.2,0.5,1474,1679
2019-12-03 09:20:12+08,1003.4,0,1476,1681
2019-12-03 09:30:12+08,1003.14,0,1474,1679
2019-12-03 09:40:12+08,1003.9,0,1475,1680
2019-12-03 09:50:14+08,1003.57,0,1475,1680
2019-12-03 10:00:12+08,1003.39,0.5,1476,1681
2019-12-03 10:10:12+08,1003.45,0,1475,1680
2019-12-03 10:20:12+08,1003.52,1,1476,1681
2019-12-03 10:30:12+08,1003.2,0.5,1476,1681
2019-12-03 10:40:13+08,1002.65,0.5,1477,1682
2019-12-03 10:50:12+08,1003.34,0.5,1477,1682
2019-12-03 11:00:12+08,1003.29,0.5,1478,1683
2019-12-03 11:10:13+08,1002.94,0.5,1479,1684
2019-12-03 11:20:12+08,1002.72,1,1480,1685
2019-12-03 11:30:13+08,1002.57,1,1481,1686
2019-12-03 11:40:12+08,1002.37,0.5,1483,1688
2019-12-03 11:50:13+08,1002.22,1,1486,1691
2019-12-03 12:00:12+08,1002.06,1,1488,1693
2019-12-03 12:10:12+08,1001.94,1,1489,1694
2019-12-03 12:20:12+08,1001.87,1,1492,1697
2019-12-03 12:30:13+08,1001.85,1,1495,1700
2019-12-03 12:40:13+08,1001.68,0.5,1498,1703
2019-12-03 12:50:12+08,1001.2,0.5,1499,1704
2019-12-03 13:00:12+08,1001.27,1,1499,1704
2019-12-03 13:10:12+08,1001.39,1,1499,1704
2019-12-03 13:20:12+08,1001.43,0.5,1498,1703
2019-12-03 13:30:12+08,1001.2,1,1500,1705
2019-12-03 13:40:12+08,1001.41,1,1501,1706
2019-12-03 13:50:12+08,1001.59,1,1501,1706
2019-12-03 14:00:14+08,1001.54,0.5,1504,1709
2019-12-03 14:10:12+08,1001.97,0.5,1517,1722
2019-12-03 14:20:14+08,1002.12,1,1530,1735
2019-12-03 14:30:12+08,1002.73,1,1535,1740
2019-12-03 14:40:12+08,1002.71,0.5,1541,1746
2019-12-03 14:50:15+08,1002.63,1,1552,1757
